id,label,subject,message
2076,spam,Account Alert: Verify Your Details Now,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
8943,ham,Follow-up on Previous Email,Thanks for helping with the project submission last week.
6599,spam,Account Alert: Verify Your Details Now,Special insurance plan for you – get huge discounts by signing up today.
7393,spam,Special Offer Just for You,Special insurance plan for you – get huge discounts by signing up today.
4326,spam,Limited Offer: Claim Your Free iPhone,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
1667,spam,Account Alert: Verify Your Details Now,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
10445,ham,Weekly Report Submission Reminder,Let’s plan the presentation slides together this weekend.
6852,spam,Upgrade to Premium Membership Today,You’ve won a lucky draw! Provide your contact details to claim the prize.
12523,ham,Schedule for Tomorrow's Meeting,"Hey, please find attached the updated report for your review. Offer bahut mast lag rahi hai, check kar jaldi."
9223,ham,Schedule for Tomorrow's Meeting,Please review the attached invoice and confirm once done.
10872,ham,Schedule for Tomorrow's Meeting,"Please review the attached invoice and confirm once done. Offer bahut mast lag rahi hai, check kar jaldi."
14702,ham,Meeting Reminder: Project Discussion,"Hey, please find attached the updated report for your review. Exam ki file attach ki hai, dekh lena."
5156,spam,Urgent: Update Your Payment Information,Special insurance plan for you – get huge discounts by signing up today.
10771,ham,Schedule for Tomorrow's Meeting,Don’t forget to bring the printed copies for submission.
11486,ham,Meeting Reminder: Project Discussion,The team meeting is scheduled at 3 PM. Please join via the link.
5327,spam,Upgrade to Premium Membership Today,Your Amazon gift card is ready. Claim it before it expires.
4377,spam,Exclusive Discount on Electronics,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
3452,spam,Exclusive Discount on Electronics,You’ve won a lucky draw! Provide your contact details to claim the prize.
6348,spam,Claim Your $500 Reward Now,Special insurance plan for you – get huge discounts by signing up today.
11028,ham,Project Update and Next Steps,Don’t forget to bring the printed copies for submission.
1298,spam,Claim Your $500 Reward Now,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
3030,spam,Urgent: Update Your Payment Information,Final notice: Your subscription will expire soon. Renew today and save 50%.
14906,ham,Invoice Attached for Your Review,Let’s plan the presentation slides together this weekend.
100,spam,Claim Your $500 Reward Now,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
6473,spam,Account Alert: Verify Your Details Now,You’ve won a lucky draw! Provide your contact details to claim the prize.
8223,ham,Weekly Report Submission Reminder,"Hey, please find attached the updated report for your review."
3063,spam,Claim Your $500 Reward Now,Final notice: Your subscription will expire soon. Renew today and save 50%.
9969,ham,Team Lunch on Friday,The team meeting is scheduled at 3 PM. Please join via the link.
9273,ham,Regarding Your Assignment,Can you confirm your availability for tomorrow’s meeting?
13965,ham,Regarding Your Assignment,I’ve shared the notes from today’s lecture in the drive link below.
10495,ham,Regarding Your Assignment,Don’t forget to bring the printed copies for submission.
1275,spam,Special Offer Just for You,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
9517,ham,Weekly Report Submission Reminder,Can you confirm your availability for tomorrow’s meeting?
4115,spam,Exclusive Discount on Electronics,You’ve won a lucky draw! Provide your contact details to claim the prize.
9149,ham,Project Update and Next Steps,The team meeting is scheduled at 3 PM. Please join via the link.
7865,ham,Schedule for Tomorrow's Meeting,I’ve shared the notes from today’s lecture in the drive link below.
1641,spam,Limited Offer: Claim Your Free iPhone,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
6637,spam,Account Alert: Verify Your Details Now,Get access to premium content for free. Just confirm your email to activate the offer.
8253,ham,Weekly Report Submission Reminder,The team meeting is scheduled at 3 PM. Please join via the link.
13804,ham,Invoice Attached for Your Review,Please review the attached invoice and confirm once done.
13248,ham,Weekly Report Submission Reminder,"The team meeting is scheduled at 3 PM. Please join via the link. Bhai, check kar ye mail important hai."
5991,spam,Special Offer Just for You,Get access to premium content for free. Just confirm your email to activate the offer.
6209,spam,Win a Trip to Maldives - Limited Seats,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
14503,ham,Re: Notes from Today's Lecture,Please review the attached invoice and confirm once done.
5662,spam,Account Alert: Verify Your Details Now,Final notice: Your subscription will expire soon. Renew today and save 50%.
7145,spam,Upgrade to Premium Membership Today,Special insurance plan for you – get huge discounts by signing up today.
1503,spam,Win a Trip to Maldives - Limited Seats,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight. Please confirm karna kal ka plan.
1502,spam,Limited Offer: Claim Your Free iPhone,Final notice: Your subscription will expire soon. Renew today and save 50%.
8340,ham,Re: Notes from Today's Lecture,"Hey, please find attached the updated report for your review."
10188,ham,Follow-up on Previous Email,Don’t forget to bring the printed copies for submission.
10002,ham,Regarding Your Assignment,Just checking if you received the document I sent yesterday.
19,spam,Your Loan Application Approved,You’ve won a lucky draw! Provide your contact details to claim the prize.
10942,ham,Meeting Reminder: Project Discussion,Please review the attached invoice and confirm once done.
9287,ham,Regarding Your Assignment,It was great seeing you at the seminar. Let’s catch up soon.
13114,ham,Invoice Attached for Your Review,The team meeting is scheduled at 3 PM. Please join via the link.
4181,spam,Your Loan Application Approved,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
762,spam,Account Alert: Verify Your Details Now,Your Amazon gift card is ready. Claim it before it expires.
12221,ham,Schedule for Tomorrow's Meeting,Thanks for helping with the project submission last week.
2647,spam,Claim Your $500 Reward Now,You’ve won a lucky draw! Provide your contact details to claim the prize.
11882,ham,Regarding Your Assignment,Just checking if you received the document I sent yesterday.
8863,ham,Team Lunch on Friday,Don’t forget to bring the printed copies for submission.
1162,spam,Special Offer Just for You,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
10359,ham,Meeting Reminder: Project Discussion,Can you confirm your availability for tomorrow’s meeting?
4204,spam,Urgent: Update Your Payment Information,Your Amazon gift card is ready. Claim it before it expires.
9712,ham,Follow-up on Previous Email,Don’t forget to bring the printed copies for submission.
5548,spam,Your Loan Application Approved,Your Amazon gift card is ready. Claim it before it expires.
10492,ham,Weekly Report Submission Reminder,"Hey, please find attached the updated report for your review."
12885,ham,Regarding Your Assignment,Please review the attached invoice and confirm once done.
1362,spam,Your Loan Application Approved,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
4260,spam,Limited Offer: Claim Your Free iPhone,Your Amazon gift card is ready. Claim it before it expires.
1029,spam,Special Offer Just for You,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
11564,ham,Meeting Reminder: Project Discussion,Thanks for helping with the project submission last week.
10085,ham,Regarding Your Assignment,Can you confirm your availability for tomorrow’s meeting?
6765,spam,Upgrade to Premium Membership Today,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
10869,ham,Weekly Report Submission Reminder,"Hey, please find attached the updated report for your review."
3693,spam,Exclusive Discount on Electronics,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
7800,ham,Meeting Reminder: Project Discussion,Please review the attached invoice and confirm once done.
12234,ham,Invoice Attached for Your Review,"It was great seeing you at the seminar. Let’s catch up soon. Yaar, meeting ka link bhej de."
9240,ham,Meeting Reminder: Project Discussion,Please review the attached invoice and confirm once done.
361,spam,Exclusive Discount on Electronics,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
10203,ham,Invoice Attached for Your Review,"Hey, please find attached the updated report for your review."
2192,spam,Upgrade to Premium Membership Today,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
9157,ham,Invoice Attached for Your Review,"Hey, please find attached the updated report for your review."
12386,ham,Schedule for Tomorrow's Meeting,The team meeting is scheduled at 3 PM. Please join via the link.
14845,ham,Re: Notes from Today's Lecture,It was great seeing you at the seminar. Let’s catch up soon.
33,spam,Urgent: Update Your Payment Information,Get access to premium content for free. Just confirm your email to activate the offer.
12930,ham,Schedule for Tomorrow's Meeting,The team meeting is scheduled at 3 PM. Please join via the link.
2156,spam,Exclusive Discount on Electronics,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
1615,spam,Congratulations! You've Won a Gift Voucher,"You have been chosen to receive an exclusive credit card with zero annual fees. Apply now. Offer bahut mast lag rahi hai, check kar jaldi."
927,spam,Claim Your $500 Reward Now,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
734,spam,Claim Your $500 Reward Now,Your Amazon gift card is ready. Claim it before it expires.
5837,spam,Exclusive Discount on Electronics,You’ve won a lucky draw! Provide your contact details to claim the prize.
4906,spam,Urgent: Update Your Payment Information,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
1312,spam,Account Alert: Verify Your Details Now,You’ve won a lucky draw! Provide your contact details to claim the prize.
4395,spam,Win a Trip to Maldives - Limited Seats,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
1600,spam,Urgent: Update Your Payment Information,Refer a friend and earn ₹500 instantly! Click here to start.
4357,spam,Exclusive Discount on Electronics,Final notice: Your subscription will expire soon. Renew today and save 50%.
14677,ham,Invitation: College Tech Fest,"I’ve shared the notes from today’s lecture in the drive link below. Yaar, meeting ka link bhej de."
13671,ham,Meeting Reminder: Project Discussion,Can you confirm your availability for tomorrow’s meeting?
9699,ham,Meeting Reminder: Project Discussion,"Can you confirm your availability for tomorrow’s meeting? Bhai, check kar ye mail important hai."
14930,ham,Schedule for Tomorrow's Meeting,Please review the attached invoice and confirm once done.
3200,spam,Limited Offer: Claim Your Free iPhone,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
1219,spam,Special Offer Just for You,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
5697,spam,Account Alert: Verify Your Details Now,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
3326,spam,Limited Offer: Claim Your Free iPhone,Refer a friend and earn ₹500 instantly! Click here to start.
6397,spam,Upgrade to Premium Membership Today,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
11457,ham,Invitation: College Tech Fest,"Hey, please find attached the updated report for your review."
13362,ham,Project Update and Next Steps,I’ve shared the notes from today’s lecture in the drive link below.
171,spam,Win a Trip to Maldives - Limited Seats,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
2388,spam,Urgent: Update Your Payment Information,You’ve won a lucky draw! Provide your contact details to claim the prize.
4517,spam,Exclusive Discount on Electronics,Special insurance plan for you – get huge discounts by signing up today.
14312,ham,Team Lunch on Friday,Let’s plan the presentation slides together this weekend.
8721,ham,Follow-up on Previous Email,Let’s plan the presentation slides together this weekend.
8859,ham,Team Lunch on Friday,Just checking if you received the document I sent yesterday.
9314,ham,Invitation: College Tech Fest,Please review the attached invoice and confirm once done.
1894,spam,Special Offer Just for You,You’ve won a lucky draw! Provide your contact details to claim the prize.
3141,spam,Your Loan Application Approved,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
6708,spam,Your Loan Application Approved,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
4465,spam,Exclusive Discount on Electronics,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
9237,ham,Project Update and Next Steps,It was great seeing you at the seminar. Let’s catch up soon.
5277,spam,Special Offer Just for You,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
1833,spam,Special Offer Just for You,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
11991,ham,Team Lunch on Friday,The team meeting is scheduled at 3 PM. Please join via the link.
13556,ham,Invoice Attached for Your Review,Can you confirm your availability for tomorrow’s meeting?
8086,ham,Meeting Reminder: Project Discussion,Let’s plan the presentation slides together this weekend.
1412,spam,Account Alert: Verify Your Details Now,Get access to premium content for free. Just confirm your email to activate the offer.
8908,ham,Project Update and Next Steps,I’ve shared the notes from today’s lecture in the drive link below.
12570,ham,Weekly Report Submission Reminder,"Hey, please find attached the updated report for your review."
1974,spam,Claim Your $500 Reward Now,Final notice: Your subscription will expire soon. Renew today and save 50%.
14956,ham,Invoice Attached for Your Review,Thanks for helping with the project submission last week.
10747,ham,Re: Notes from Today's Lecture,Please review the attached invoice and confirm once done.
10332,ham,Team Lunch on Friday,Please review the attached invoice and confirm once done.
6751,spam,Account Alert: Verify Your Details Now,"Congratulations! You have been selected for a special offer. Click the link below to claim your reward. Exam ki file attach ki hai, dekh lena."
11225,ham,Weekly Report Submission Reminder,The team meeting is scheduled at 3 PM. Please join via the link.
6188,spam,Win a Trip to Maldives - Limited Seats,Special insurance plan for you – get huge discounts by signing up today.
1321,spam,Upgrade to Premium Membership Today,Final notice: Your subscription will expire soon. Renew today and save 50%.
11606,ham,Weekly Report Submission Reminder,I’ve shared the notes from today’s lecture in the drive link below.
800,spam,Account Alert: Verify Your Details Now,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
1062,spam,Special Offer Just for You,Your Amazon gift card is ready. Claim it before it expires.
10140,ham,Regarding Your Assignment,"Hey, please find attached the updated report for your review."
9126,ham,Schedule for Tomorrow's Meeting,Can you confirm your availability for tomorrow’s meeting?
9560,ham,Weekly Report Submission Reminder,Let’s plan the presentation slides together this weekend.
988,spam,Exclusive Discount on Electronics,Final notice: Your subscription will expire soon. Renew today and save 50%.
12399,ham,Schedule for Tomorrow's Meeting,It was great seeing you at the seminar. Let’s catch up soon.
6625,spam,Urgent: Update Your Payment Information,Get access to premium content for free. Just confirm your email to activate the offer.
7699,ham,Regarding Your Assignment,"Please review the attached invoice and confirm once done. Exam ki file attach ki hai, dekh lena."
13861,ham,Follow-up on Previous Email,"Hey, please find attached the updated report for your review."
9341,ham,Weekly Report Submission Reminder,Can you confirm your availability for tomorrow’s meeting?
1716,spam,Claim Your $500 Reward Now,You’ve won a lucky draw! Provide your contact details to claim the prize.
463,spam,Claim Your $500 Reward Now,"You have been chosen to receive an exclusive credit card with zero annual fees. Apply now. Bhai, check kar ye mail important hai."
14468,ham,Invitation: College Tech Fest,Can you confirm your availability for tomorrow’s meeting?
12601,ham,Regarding Your Assignment,Can you confirm your availability for tomorrow’s meeting?
11156,ham,Schedule for Tomorrow's Meeting,It was great seeing you at the seminar. Let’s catch up soon.
12574,ham,Regarding Your Assignment,Just checking if you received the document I sent yesterday.
8562,ham,Project Update and Next Steps,Can you confirm your availability for tomorrow’s meeting?
254,spam,Your Loan Application Approved,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
6581,spam,Special Offer Just for You,Refer a friend and earn ₹500 instantly! Click here to start.
3490,spam,Limited Offer: Claim Your Free iPhone,Your Amazon gift card is ready. Claim it before it expires.
9642,ham,Invitation: College Tech Fest,Thanks for helping with the project submission last week.
14764,ham,Weekly Report Submission Reminder,Just checking if you received the document I sent yesterday.
9148,ham,Invoice Attached for Your Review,The team meeting is scheduled at 3 PM. Please join via the link.
2412,spam,Your Loan Application Approved,Get access to premium content for free. Just confirm your email to activate the offer.
2037,spam,Win a Trip to Maldives - Limited Seats,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
4449,spam,Congratulations! You've Won a Gift Voucher,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
9802,ham,Meeting Reminder: Project Discussion,I’ve shared the notes from today’s lecture in the drive link below.
12863,ham,Re: Notes from Today's Lecture,Just checking if you received the document I sent yesterday.
9553,ham,Follow-up on Previous Email,Thanks for helping with the project submission last week.
14441,ham,Invoice Attached for Your Review,It was great seeing you at the seminar. Let’s catch up soon.
10237,ham,Team Lunch on Friday,Please review the attached invoice and confirm once done.
858,spam,Upgrade to Premium Membership Today,Your Amazon gift card is ready. Claim it before it expires.
9162,ham,Project Update and Next Steps,"Hey, please find attached the updated report for your review."
7290,spam,Special Offer Just for You,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
8624,ham,Meeting Reminder: Project Discussion,Let’s plan the presentation slides together this weekend.
11392,ham,Follow-up on Previous Email,"Hey, please find attached the updated report for your review."
13195,ham,Meeting Reminder: Project Discussion,Just checking if you received the document I sent yesterday.
12361,ham,Follow-up on Previous Email,Let’s plan the presentation slides together this weekend.
9220,ham,Invitation: College Tech Fest,"Hey, please find attached the updated report for your review."
7702,ham,Weekly Report Submission Reminder,Can you confirm your availability for tomorrow’s meeting?
13820,ham,Project Update and Next Steps,Please review the attached invoice and confirm once done.
7623,ham,Weekly Report Submission Reminder,"Hey, please find attached the updated report for your review."
3540,spam,Your Loan Application Approved,Special insurance plan for you – get huge discounts by signing up today.
13657,ham,Project Update and Next Steps,Thanks for helping with the project submission last week.
10888,ham,Re: Notes from Today's Lecture,Just checking if you received the document I sent yesterday.
5390,spam,Urgent: Update Your Payment Information,Final notice: Your subscription will expire soon. Renew today and save 50%.
13298,ham,Meeting Reminder: Project Discussion,Thanks for helping with the project submission last week.
3663,spam,Congratulations! You've Won a Gift Voucher,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
2431,spam,Claim Your $500 Reward Now,Your Amazon gift card is ready. Claim it before it expires.
1174,spam,Limited Offer: Claim Your Free iPhone,Final notice: Your subscription will expire soon. Renew today and save 50%.
5002,spam,Upgrade to Premium Membership Today,Special insurance plan for you – get huge discounts by signing up today.
2643,spam,Limited Offer: Claim Your Free iPhone,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
4928,spam,Exclusive Discount on Electronics,Special insurance plan for you – get huge discounts by signing up today.
7395,spam,Special Offer Just for You,"Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight. Yaar, meeting ka link bhej de."
6602,spam,Claim Your $500 Reward Now,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
11624,ham,Re: Notes from Today's Lecture,It was great seeing you at the seminar. Let’s catch up soon.
1176,spam,Your Loan Application Approved,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
9703,ham,Re: Notes from Today's Lecture,Let’s plan the presentation slides together this weekend.
14992,ham,Weekly Report Submission Reminder,Can you confirm your availability for tomorrow’s meeting?
1448,spam,Claim Your $500 Reward Now,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
13041,ham,Invitation: College Tech Fest,"Hey, please find attached the updated report for your review."
14404,ham,Team Lunch on Friday,Let’s plan the presentation slides together this weekend.
8985,ham,Regarding Your Assignment,I’ve shared the notes from today’s lecture in the drive link below.
4340,spam,Limited Offer: Claim Your Free iPhone,Your Amazon gift card is ready. Claim it before it expires.
3558,spam,Urgent: Update Your Payment Information,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
9191,ham,Invoice Attached for Your Review,Don’t forget to bring the printed copies for submission.
14420,ham,Team Lunch on Friday,Thanks for helping with the project submission last week.
5878,spam,Your Loan Application Approved,You’ve won a lucky draw! Provide your contact details to claim the prize.
14049,ham,Follow-up on Previous Email,Thanks for helping with the project submission last week.
1590,spam,Account Alert: Verify Your Details Now,Refer a friend and earn ₹500 instantly! Click here to start.
13887,ham,Regarding Your Assignment,Thanks for helping with the project submission last week.
3768,spam,Urgent: Update Your Payment Information,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
9992,ham,Invoice Attached for Your Review,Let’s plan the presentation slides together this weekend.
7600,ham,Re: Notes from Today's Lecture,Don’t forget to bring the printed copies for submission.
13409,ham,Meeting Reminder: Project Discussion,Thanks for helping with the project submission last week.
3145,spam,Limited Offer: Claim Your Free iPhone,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
3219,spam,Win a Trip to Maldives - Limited Seats,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
267,spam,Claim Your $500 Reward Now,You’ve won a lucky draw! Provide your contact details to claim the prize.
9020,ham,Re: Notes from Today's Lecture,Thanks for helping with the project submission last week.
8038,ham,Meeting Reminder: Project Discussion,Please review the attached invoice and confirm once done.
4119,spam,Urgent: Update Your Payment Information,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
14965,ham,Weekly Report Submission Reminder,Don’t forget to bring the printed copies for submission.
8681,ham,Meeting Reminder: Project Discussion,"Hey, please find attached the updated report for your review."
1054,spam,Claim Your $500 Reward Now,Refer a friend and earn ₹500 instantly! Click here to start.
9856,ham,Re: Notes from Today's Lecture,Can you confirm your availability for tomorrow’s meeting?
2970,spam,Limited Offer: Claim Your Free iPhone,Your Amazon gift card is ready. Claim it before it expires.
13772,ham,Weekly Report Submission Reminder,Can you confirm your availability for tomorrow’s meeting?
12101,ham,Project Update and Next Steps,Can you confirm your availability for tomorrow’s meeting?
7914,ham,Meeting Reminder: Project Discussion,Don’t forget to bring the printed copies for submission.
4742,spam,Special Offer Just for You,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
1696,spam,Your Loan Application Approved,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
7661,ham,Follow-up on Previous Email,Please review the attached invoice and confirm once done.
2508,spam,Exclusive Discount on Electronics,Your Amazon gift card is ready. Claim it before it expires.
4952,spam,Your Loan Application Approved,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
5032,spam,Upgrade to Premium Membership Today,You’ve won a lucky draw! Provide your contact details to claim the prize.
2575,spam,Win a Trip to Maldives - Limited Seats,Get access to premium content for free. Just confirm your email to activate the offer.
8808,ham,Re: Notes from Today's Lecture,Thanks for helping with the project submission last week.
13343,ham,Project Update and Next Steps,Please review the attached invoice and confirm once done.
631,spam,Win a Trip to Maldives - Limited Seats,Final notice: Your subscription will expire soon. Renew today and save 50%.
8602,ham,Meeting Reminder: Project Discussion,Let’s plan the presentation slides together this weekend.
14282,ham,Meeting Reminder: Project Discussion,Thanks for helping with the project submission last week.
10073,ham,Team Lunch on Friday,Can you confirm your availability for tomorrow’s meeting?
12212,ham,Re: Notes from Today's Lecture,I’ve shared the notes from today’s lecture in the drive link below.
12724,ham,Schedule for Tomorrow's Meeting,The team meeting is scheduled at 3 PM. Please join via the link.
7391,spam,Account Alert: Verify Your Details Now,Refer a friend and earn ₹500 instantly! Click here to start.
11015,ham,Follow-up on Previous Email,Thanks for helping with the project submission last week.
14276,ham,Invitation: College Tech Fest,I’ve shared the notes from today’s lecture in the drive link below.
2225,spam,Win a Trip to Maldives - Limited Seats,Refer a friend and earn ₹500 instantly! Click here to start.
13970,ham,Weekly Report Submission Reminder,Don’t forget to bring the printed copies for submission.
11722,ham,Follow-up on Previous Email,"Hey, please find attached the updated report for your review."
12621,ham,Project Update and Next Steps,The team meeting is scheduled at 3 PM. Please join via the link.
2465,spam,Upgrade to Premium Membership Today,"Special insurance plan for you – get huge discounts by signing up today. Yaar, meeting ka link bhej de."
11035,ham,Re: Notes from Today's Lecture,Please review the attached invoice and confirm once done.
11129,ham,Follow-up on Previous Email,Can you confirm your availability for tomorrow’s meeting?
12480,ham,Project Update and Next Steps,It was great seeing you at the seminar. Let’s catch up soon.
13366,ham,Schedule for Tomorrow's Meeting,Please review the attached invoice and confirm once done.
11032,ham,Schedule for Tomorrow's Meeting,Let’s plan the presentation slides together this weekend.
11787,ham,Regarding Your Assignment,I’ve shared the notes from today’s lecture in the drive link below.
12886,ham,Team Lunch on Friday,"Hey, please find attached the updated report for your review."
8847,ham,Regarding Your Assignment,Just checking if you received the document I sent yesterday.
2168,spam,Special Offer Just for You,Your Amazon gift card is ready. Claim it before it expires.
12104,ham,Schedule for Tomorrow's Meeting,Thanks for helping with the project submission last week.
934,spam,Exclusive Discount on Electronics,Get access to premium content for free. Just confirm your email to activate the offer.
12433,ham,Project Update and Next Steps,"Just checking if you received the document I sent yesterday. Bhai, check kar ye mail important hai."
2806,spam,Special Offer Just for You,Final notice: Your subscription will expire soon. Renew today and save 50%.
3449,spam,Account Alert: Verify Your Details Now,Special insurance plan for you – get huge discounts by signing up today.
